bobbens	mithril	Mithril armor (elven mithril-coat and dwarvish mithril-coat) give mc3.
greycat	anshar	The chaotic god of the Caveman pantheon.
PsyMar	you_see_the_wizard_of_yendor_gazing_out_at_you	Congratulations, this is a *rare* message.  You applied a crystal ball, found nothing, and passed the 1/100 chance funny message check.
Jafet	poppins	See {poppins_priceid}
Stevie	you_absorb_magical_energy	You just cancelled a spellcasting monster with Magicbane, raising your current and maximum Pw by 1.
ihope	severe_headache	Playtime's over. The foocubus has been cancelled and will no longer consort with you.
greycat	severe_headache	Unless your idea of "Playtime" involves a lot of bleeding.
dasunt	copper_ring	An unidentified ring.  *CAN* be eaten by rock moles and xorns.
Mucknert	grid_bug	These little insects are not much of a threat, but can cause DYWYPI when you are careless, low on HP, or both.
greycat	grid_bug	"Wait!  I shall polymorph into a grid bug to give thee a fighting chance!"  The grid bug can only move and attack in the four cardinal directions (N, S, E, W) -- never diagonally.
towo	grid_bug	These creatures originate from 'Tron'.
Alan8r	grid_bug	Gives you 1 experience point when defeated.
SheeEttin	grid_bug	They usually appear in pairs.
sorear	grid_bug	Like all electric monsters, they can explode wands and rings.  The chance is normally quite low but increases dramatically when there is a wand of wishing in your pack.
CydeWeys	grey_dragon_scale_mail	See {gray_dragon_scale_mail}
blackcustard	#nethack:tfewtfwos?	the fucking elf with the fucking wand of sleep
paxed	quasit	Small minor demon, speed 15, AC 2, magic resistance 20%, corpse can give poison resistance.  In melee, drains dexterity 1d2 twice and does 1d4 normal damage.
Zeffrin	quasit	Eaten: quasit   Nutr: 200   Intrinsic: Poison: 20%
joshk	muffled_shatter	You just broke a glass object that was inside a chest.
Zeffrin	glass_piercer	Eaten: glass piercer   Nutr: 300
Poeir	intrinsics	Possible intrinsics are: aggravate monster, cold resistance, disintegration resistance, fire resistance, invisibility, lycanthropy, polymorph control, poison resistance, protection, searching, see invisible, shock resistance, speed, stealth, telepathy, teleport control, teleportitis, and warning.
jmr	intrinsics	For information on what corpses convey what intrinsics, and the chances of such, see: http://www.geocities.com/dcorbett42/nethack/corpse.htm
Lenz	spider_web	Web of a spider.
Lenz	spider_web	It will stick to you for a few turns.
greycat	spider_web	Sufficiently strong characters will break through the webs.  Sting will also cut them.
ihope_	the_sink_momentarily_looks_like_a_fountain.	Polymorph.
paxed	leppie	A leprechaun
dasunt	mud_boots	Either the unidentified elven, kicking, fumble, levitation, jumping, speed or water walking boots.
dasunt	shiny_ring	An unidentified ring.  *CAN* be eaten by rock moles, rust monsters, and xorns.
ihope_	you_don't_see_anything_happen_to_the_sink.	Invisibility.
Adeon	poppins_priceid	Poppins' Price Identification Tool Online. Formerly known as "pito", but someone said that name is crap. http://genodeen.net/index.clua?poppins
kerio	poppins_priceid	It's also blue!
greycat	dorn	Andreas Dorn has patches for nethack at http://home.arcor.de/adorn/
dtype	dispater	Yet another demon lord, resistant to fire and poison, with decent melee and spell attacks. Dispater can only be summoned.
Babamus	dispater	He's lawful, so stick around Asmodeus, Baalzebub or Geryon to have a shot at meeting him.
paxed	#dip	Extended command.  Dip an object into something.
Nexos	you_feel_much,_much_better!	One of the positive effects of sitting on a throne.
Nexos	you_feel_much,_much_better!	HP restored to max, 4 max HP gain if previously within 5 points of maximum.
Nexos	you_feel_much,_much_better!	Cures blindness, sickness and wounded legs.
paxed	number_pad	Configuration option.  Use the number keys to move instead of the vi-keys. Press O in-game to set, select number_pad, change to 1 for enabled or 0 for off. To set on in your rcfile, use OPTIONS=number_pad:1
ek|M	you_feel_charismatic	You stepped on a magic trap and gained +1 charisma and tamed adjacent monsters.
ek|M	you_feel_charismatic	Or you just gained charisma from something or other..
ZeffriN	you_feel_quick	You've just received the speed intrinsic.
scorchgeek	you_hear_dishes_being_washed	There is a sink on the level, and you are hallucinating.
Stevko	you_reel	You became stunned.
Zadir	you_feel_unworthy	This message shows up when you're wielding a non-weapon item while crowned, and you missed the bonus of having a weapon type unrestricted.
nailbunny	zen	A conduct in which the player wears a blindfold or towel on the first turn of the game and only removes it to read the Book of the Dead. This conduct therefore requires one to start with either a blindfold or towel. Samurai and Rogues have a 20% chance of starting a blindfold, and Wizards have a 16% chance. Tourists have a 3.7% chance of starting with a towel.
nailbunny	zen	For classes that don't start with a blinding tool, acquiring one within the first 1000 turns is considered an acceptable substitute for some Nethackers.
billnye	casting_prob	see {spell_failure}
greycat	caitiff	"You caitiff!"  You are a lawful knight who has struck a monster which is sleeping, paralyzed or fleeing.  -1 alignment.
GreyKnight	caitiff	You were lawful and tried to survive.
mathx	caitiff	Also being a lich and hitting a ghost.
paxed	comr	Cloak of Magic Resistance
I3rian	comr	CoMR is MC 3
SpeedEvil	comr	It has 1 base AC, and can become rotten and/or burned.
paxed	config_file	see {configuration}
Chilliwack	leather_golem	When killed, drops a bunch of leather armor
SheeEttin	vampire_bat	A bat. That is a vampire.
DrSunglass	vampire_bat	Vampire bats have a 1d6 bite attack and a poisonous bite attack, hit often due to having speed 20, and resist sleep and poison. Despite their name, they do not have a level-draining attack. Their corpse is worth 20 nutrition and is poisonous, but conveys no intrinsics.
DrSunglass	vampire_bat	Players polymorphed into vampire bats are permanently stunned. If they are polymorphed again, they become vampires unless they have polymorph control.
Zeffrin	vampire_bat	Eaten: vampire bat   Nutr: 20   Effects: Poisonous
paxed	mc3	The following armors give magic cancellation level 3: elven mithril-coat, dwarvish mithril-coat, oilskin cloak, cloak of magic resistance, elven cloak, robe and cloak of protection.
mathx	mc3	Gives 3/150 (2%) chance of special attacks working.
Stevie[FP]	you_feel_guilty	If you just ate something, you're a monk and you just ate meat. Unless you're playing a pacifist, the ding is nothing to worry about (and if you are, a quick sacrifice will cure that easily enough). (For the unaware, Nethack monks are *supposed* to be vegetarians.)
Stevie[FP]	you_feel_guilty	If you just read an unidentified scroll, either you were confused or it was blessed. Either way, it was a scroll of punishment.
CydeWeys	you_feel_guilty	The message you get when you kill a coaligned unicorn. -5 luck.
konso	protection_from_shape_changers	Ring of protection from shape changers lets you see monsters' true form. Also protects you from becoming lycantrophic.
Stevie	protection_from_shape_changers	info { price: 100; weight: 3; charged: no }
dtriscuit	protection_from_shape_changers	does not protect you from contracting lycanthropy by eating a werefoo corpse.
Elliott	protection_from_shape_changers	Prevents werefoo from summoning ('But none comes.')
scorchgeek	protection_from_shape_changers	Useful on the rogue quest due to all the chameleons, and anytime in the early game to prevent seeing an arch-lich where you shouldn't.
CatEater	gem	see {gems}
joshk	excalibur	If you're lawful, #dip a longsword into a fountain at experience level 5 or higher and you may get this excellent artifact.
greycat	excalibur	Gives automatic searching, level drain resist, and a damage bonus vs. everything.
Zealot	excalibur	There is a 1/6 chance of your longsword being turned into Excalibur regardless of class, so if you're lawful, keep #dipping.
madness	excalibur	Makes monsters more likely to track you, and will ensure any demon prince is generated hostile.  Talking to demon princes whilst wielding this weapon will also make them hostile.
itsblah	excalibur	When your long sword is transformed into Excalibur, it is blessed, repaired of all damage, and rustproofed. It also keeps its enchantment.
CydeWeys	excalibur	Has +d5 to hit vs. a regular longsword and +d10 to damage.
Eidolos	excalibur	Don't dip for Excalibur in Minetown. It _will_ dry up the fountain which will annoy the guards (even if you're nonlawful). You get no trickle warning.
scorchgeek	excalibur	Also, don't try dipping a katana as a samurai--only an actual longsword works. Dipping your katana will just happily summon water demons and grant you a thoroughly rusty katana.
BTrebor	youma	see {hallucination}
dasunt	chronology	Nethack was first released on Jul 28th, 1987, according to Google[TM]'s usenet archive.
dasunt	chronology	Hack, the ancestor of Nethack, appears to have been first released on Dec 17th, 1984, according to Google[TM]'s usenet archive.
dasunt	chronology	For the curious, the first mention of Rogue (the inspiration for many, many games) was first mentioned in Google[TM]'s usenet archive on August 21st, 1981, with the blurb: "The famous D&D game - screen oriented - halts almost all useful work."
dasunt	chronology	Rogue's first major appearance was in the 4.2 version of BSD UNIX.  The game was designed by Michael Toy and Glenn Wichman in 1980, and was one of the first wide-spread programs to use the relatively new "curses" graphical display library.
dasunt	jade	A soft green gem worth 300 zorkmids.
Altimeter	lizard_corpse	see {lizard}
paxed	#offer	Extended command.  Offer a sacrifice to the gods.
Zealot	#offer	In order to offer something, you have to be able to touch it, so don't offer footrice corpses without gloves.
Cheapy	#offer	Also known as 'saccing'.
EnigmaN	#offer	Some bad things to offer include: A former pet (angers god), A co-aligned unicorn.
dtype	maniac	Maniac's Ascension Guide. http://homepage.mac.com/mhjohnson/mag-r343.html
jilles	figurine	Apply a figurine to create a monster. Blessed figurines have 80% chance of giving a pet.
jilles	figurine	Cursed figurines usually give hostile monsters, and may transform spontaneously some time after you pick them up.
jilles	figurine	Figurines can create monsters regardless of extinction. Genocided monsters cannot be created.
jilles	figurine	A magical tool for polypiling purposes.
dtype	bugle	Musical instrument that wakes nearby soldiers, and can be used to play the tune at the castle gates if you haven't become one of the uncivilized that just knocks the door down.
Stevie-O	thirst_is_quenched	You were drinking from a fountain and splattered water all over; lucky for you, no pools were formed.
Zadir	destroy_old_game	The bane of an online nethack session. As long as you don't press "y", the game is probably recoverable. Ask paxed nicely and he might help you with this.
dasunt	polished_silver_shield	see {shield_of_reflection}
paxed	ascension_kit	All the little fiddly bits your character has to carry in order to ascend.  Usually includes a dragon scale mail, speed boots, gauntlets of power (or dexterity), and a big pointy stick.
Cyde	ascension_kit	Must include some combination of GDSM, SDSM, amulet of reflection, shield of reflection, cloak of magic resistance, or a magic resistance granting quest artifact such that the player has both magic resistance and magic reflection.
greycat	ascension_kit	The bare minimum is: magic resistance, a unicorn horn, good AC and HP, some food, some way to eliminate monsters (weapons, spells, pets), and a way to uncurse your equipment.
Tsingi	ascension_kit	reading a blessed or uncursed scroll of gold detection while confused or reading a cursed scroll will identify traps on the level, including portals.  This is a good way to locate the portals on the elemental planes. If you want to do this for all levels you need four of them, plus any backups you think you might need.
Hellzon	ascension_kit	There's a thorough guide at http://nethackwiki.com/wiki/Ascension_kit
Poeir	how_to_annoy_people_in_one_easy_step	A good way to annoy people in one easy step is to use the ?> to message the entire channel, mainly with large entries, particularly ones that don't go anywhere...
Poeir	how_to_annoy_people_in_one_easy_step	Like the time I needed a new heel for my shoe, so I decided to go to Morganville, which is what they called Shelbyville in those days.  So I tied an onion to my belt, as was the style at the time.  Now, to take the ferry cost a nickel and in those days nickels had pictures of bumblebees on them; "Give me five bees for a quarter!" you'd say.
KimmoKM	how_to_annoy_people_in_one_easy_step	Just behave like KimmoKM. This is the easiest way to annoy people.
billnye	how_to_annoy_people_in_one_easy_step	Now, where were we? Oh, yeah. The important thing was that I had an onion tied to my belt, as was the style at the time. They didn't have white onions, because of the war, all you could get was those big yellow ones...
Zarel	how_to_annoy_people_in_one_easy_step	It's even better if the definitions with the ?> command is large, like this one. Of course, this message certainly isn't to be used for such purposes, and was made longer for other reasons, like.... uh.... um..... well.... you see.... Oh, forget it.
Violist	how_to_annoy_people_in_one_easy_step	But the yellow ones stank so much, we had to put those clothespins over our noses when we went into town. 'course, that didn't help the eyes, but you were crying anyways because of all these people with clothespins on their noses. But I was laughing so hard I went right by the shoestore, which in the old days was called a footstore. We often called it Footsore because the boots were so awful.
Violist	how_to_annoy_people_in_one_easy_step	Come in here and don't read the friggin' topic.
Violist	you_hear_a_low_buzzing	There is a beehive somewhere on the level.
TheShrewdDude	you_hear_a_low_buzzing	You may also recieve this message if you've kicked a tree too many times, when bees would have appeared.
billnye	grey_stones	see {gray_stone}
paxed	the_lady	The neutral goddess of the Tourist pantheon.
tsuteiuQ	orb_of_weight	Alternate name for the Orb of Fate, due to the fact that the artifact is considerably heavy.
Cyde	orb_of_weight	It weighs 150!
scwizard	orb_of_weight	dtriscuit: Acts as a luckstone AND a loadstone
argiopeweb	gibbous	Swelling by a regular curve or surface; protuberant; convex; as, the moon is gibbous between the half-moon and the full moon.
Cyde	angled_poleax	See {halberd}.
Stevie-O	you_feel_perceptive	"You feel perceptive." F'n eh, you got intrinsic searching!
paxed	tree	Kicking trees can produce apples, oranges, pears, bananas or eucalyptus leaves, or you might get a swarm of killer bees.
paxed	tree	You can also cut down trees with an axe; this also has a chance of producing a random tree fruit.
Patashu	tree	NetHack does not have enough of these.
tsuteiuQ	strangely_sad_feeling	"You have a strangely sad feeling for a moment, then it passes." - Your pet clay golem just got cancelled by a gremlin.
Ashke	air_plane	see {plane of air}
SpeedEvil	charm_monster	See {scroll of taming}
Nexos	detect_unseen	Level 3 divination spell.  Secret door detection spell variant.
ekiM	smokey	see {smoky_potion}
dtype	alt.org	Telnet to nethack.alt.org to play nethack or watch games in progress. I announce game endings in this channel. See scores and stats at http://alt.org/nethack/
dtype	woodchuck	An inordinately rare creature that can only be unnaturally created into existence. Its inclusion was somewhat of a joke, but it does provide headaches for extinctionists. Try wishing for a figurine of one to see it in real life.
dasunt	woodchuck	They can swim.
Zeffrin	woodchuck	Eaten: woodchuck   Nutr: 30
kerio	woodchuck	Demirobin is their best friend: http://alt.org/nethack/userdata/demirobin/dumplog/1280095256.nh343.txt
paxed	guardian_naga	Speed 16, AC 0, Magic resistance 50%, Poison resistant and can grant it. Does 1d6 damage and paralyzes, spits poison for 1d6 and hits for 2d4 in melee.
Zeffrin	guardian_naga	Eaten: guardian naga   Nutr: 400   Effects: Poisonous     Intrinsic: Poison: 80%
lorimer	asking_questions	http://www.catb.org/~esr/faqs/smart-questions.html
ylmson	#nethack:vs?	vibrating square
paxed	fod	Finger of Death, the most powerful attack spell there is.
elajt	pit_fiend	Level 13, Speed 6, AC -3, 65% MR, Resistant to fire and poison. Damage 4d2+4d2+2d4
scorchgeek	polyself	Polymorphing yourself is a somewhat rare but fairly useful tactic. To use polyself effectively, you need a source of polymorph (wand, ring, spell), and a ring of polymorph control. (You can gain control as an intrinsic by eating the ring, in some cases.)
scorchgeek	polyself	Good all-around choices (all of which can wield weapons and wear armor), include arch-lich (poor touch attack, but has regeneration and is strong), master mind flayer (eats brains for loads of damage), vampire lord (flies and has regeneration, and can drain levels), Aleax (gets two weapon attacks).
scorchgeek	polyself	Air elementals make you extremely fast, but are otherwise poor forms; titans are both fairly fast and good fighters, but destroy armor.
scorchgeek	polyself	Xorns can eat metal, allowing you to gain some ring properties as intrinsics; they can also phase through walls, making it a popular choice for finishing the rogue quest. Gelatinous cubes can eat wooden rings. Both will break armor.
scorchgeek	polyself	Female dragons can lay eggs, making it easy to gain new pets, and black dragons have a powerful disintegration breath (#monster), that instakills every monster in the game that it hits besides the Riders and black dragons. Note that dragons will break your armor.
scorchgeek	polyself	You can also polymorph yourself into your own race; this also happens 1/5 of the time even with polymorph control, and will change  your attributes randomly and cure a variety of ailments. Polymorphing into your own race does not break polyselfless conduct.
scorchgeek	polyself	If your hp drops below positive while in a polymorphed form, you will revert to your normal form. However, if you are wearing an amulet of unchanging you will die instead. Note that deaths other than losing HP will also still kill you.
scorchgeek	polyself	Attributes are saved when you polymorph, and return to their original values when you revert (except wisdom).
scorchgeek	polyself	See 'edible rings' for a list of edible rings.  See 'eating amulets' for information about eating amulets.
Zeffrin	rabid_rat	Eaten: rabid rat   Nutr: 5   Effects: Poisonous
Nexos	you_hear_a_crackling_sound	You froze water (not in sight) with a wand of cold or a spell of cone of cold.
SheeEttin	strange_wind	see {you hear a strange wind}
GreyKnight	tgwtwod	The Gnome With The Wand Of Death. Happens with astounding regularity.
paxed	anhur	The chaotic god of the Wizard pantheon
jilles	shapeshifter	Sandestins, doppelgangers and chameleons appear as other monsters unless you are wearing a ring of protection from shape changers. They change form after some time.
jilles	shapeshifter	If you find a high-level monster (e.g. master lich) shallow in the dungeon it's probably a shapeshifter.
jilles	shapeshifter	If a monster that normally always leaves a corpse doesn't, it's probably a shapeshifter.
Zeffrin	baby_yellow_dragon	Eaten: baby yellow dragon     Nutr: 500   Effects: Acidic
JoshJ	scon	see {slash'em}
Stevie	your_thirst_is_quenched	see {thirst is quenched}
Zeffrin	ninja	Eaten: ninja   Nutr: 400   Effects: Human
paxed	foocubi	plural of foocubus.
stumbly	foocubi	Your VChip has blocked access.
paxed	drum_of_earthquake	When applied, creates pits and destroys dungeon features in an area centered on you.  Be careful, as peaceful monsters falling into pits you created will get angry.
Pawn	drum_of_earthquake	Using one in a store will anger the shopkeeper.
paxed	e-word	see {Elbereth}
dtype	chameleon	Diff 7, Lvl 6. Eating one will polymorph you.
dasunt	chameleon	The RNG decrees that your weak pets will avoid eating the corpse of this creature, while your strong pets will ignore everything else until they have consumed it.
Eidolos	chameleon	You may like to tame chameleons while they are in an easily-tameable form (cat, dog, pony, etc.). In any event, a tame arch-lich would be better than a hostile arch-lich.
braindancer	chameleon	if a chameleon is in gremlin form and spawns new gremlins, those will be shapeshifters too.
scwizard	chameleon	If you get killed by a shapeshifter then the game will say you got killed by the shapeshifter's current form unless you're wearing a ring of protection from shape changers.
Zeffrin	chameleon	Eaten: chameleon   Nutr: 100   Effects:   Polymorph
joshk	master_mind_flayer	See {mind_flayer}
Zeffrin	master_mind_flayer	Eaten: master mind flayer   Nutr: 400   Effects:   Intelligence: 50%   Intrinsic: Telepathy: (if no Intelligence gain)
greycat	yugake	Japanese leather gloves.
ekiM	grey_dragon	see {gray_dragon}
Nodey	wi	see {wisdom}
billnye	the_runes_appear_scrambled	You tried to initiate invocation by reading the Book of the Dead on the vibrating square, but the book is cursed.
Sgep	hallucinated_monsters	Monsters you might see while hallucinating: jumbo shrimp, giant pigmy, killer penguin, giant cockroach, giant slug, maggot, pterodactyl, efreeti, marid, rot grub, bookworm, master lichen, shadow, hologram, jester, attorney, sleazoid, killer tomato, amazon, robot, battlemech,
Sgep	hallucinated_monsters	rhinovirus, harpy, lion-dog, rat-ant, Y2K bug, grue, Christmas-tree monster, luck sucker, paskald, brogmoid, dornbeast, gnu, tyrannosaurus rex, basilisk, beholder, nightmare, Ancient Multi-Hued Dragon, Evil Iggy, emu, kestrel, xeroc, venus flytrap, creeping coins, hydra, siren, killer bunny, rodent of unusual size, Smokey the bear, Luggage, Ent
PsyMar	hallucinated_monsters	tangle tree, nickelpede, wiggle, white rabbit, snark, pushmi-pullyu, smurf, tribble, Klingon, Borg, Ewok, Totoro, ohmu, youma, nyaasu, Godzilla, King Kong, earthquake beast, Invid, Terminator, boomer, Dalek, microscopic space fleet, Ravenous Bugblatter Beast of Traal, teenage mutant ninja turtle, samurai rabbit, aardvark, Audrey II
PsyMar	hallucinated_monsters	witch doctor, one-eyed one-horned flying purple people eater, Barney the Dinosaur, Morgoth, Vorlon, questing beast, Predator, mother-in-law
paxed	cmdassist	Configuration option.  NetHack provides some additional command assistance when it detects some anticipated mistakes.
Dentarthurdent_	you_feel_yourself_slowing_down	Your spell or potion of speed just wore off, or your speed boots have been removed.
Dentarthurdent_	you_feel_yourself_slowing_down	If your speed boots come off but you're still fast -- from potion, spell, or intrinsic -- then "You feel yourself slowing down a bit."
Yui	yui	Canadian nethacker; tivo hacker.
Yui	yui	Ascensions: valkyrie
Yui	yui	Personally responsible for getting explore mode removed from NAO!
greycat	kos	The chaotic god of rogues.
PsyMar	kos	Kos hits!  Your purse feels lighter.
runcible	you_feel_cold	A door was destroyed by a bolt of cold while you can't see the door.
GreyKnight	questifact	Abbreviation for "quest artifact".
Eidolos	right_hand_itches	Ignore this message and enjoy your Magicbane's new enchantment.
avian	your_quickness_feels_less_natural	You just lost speed intrinsic
Feory	your_quickness_feels_less_natural	You still have extrinsic speed, however.
paxed	bot_help	To see Rodney's commands, visit http://alt.org/nethack/Rodney/bothelp.php or lookup 'bot_commands'
paxed	pink-but-not-quite	dragon with a BLAHH attack. Wearing pink-but-not-quite dsm grants BLAHH resistance.
Cheapy__	eye_of_tapioca	see {eye of the aethiopica}
aero2600	you_hear_the_quarterback_calling_the_play	"You hear the quarterback calling the play" is a sound you hear when there is an unlooted vault on the level and you are hallucinating.
Zeffrin	baby_green_dragon	Eaten: baby green dragon     Nutr: 500   Effects: Poisonous
SimonRC	dfv	see {dig_for_victory}
Nomiisama	#nethack:sokobag?	The version of soko level 4 with a bag of holding.
braindancer	you_are_caught_in_a_magical_explosion!	Magic trap exploded, destroying it and increasing your max Pw.
SomeoneElseYes	mazes_of_menace	The area where all of the Dungeons of Doom and its branches are held.
Zeffrin	tiger	Eaten: tiger   Nutr: 300
Nukular	w00t	a geek cheer
paxed	w00t	a purple worm, 2 iron balls and a trapper.
BenUrban	radiates_explosive_energy_in_your_face	Congratulations, you just found an exploding rune!
dtype	sokoban	Upon completion of all 4 puzzles, sokoban is guaranteed to either contain a Bag of Holding or Amulet of Reflection, as well as a wand and a ring on each of the four levels.
paxed	sokoban	An upward-extending branch consisting of 4 levels; it is reached by a second upstair on the Dungeons of Doom located on the level immediately below the Oracle level.
greycat	sokoban	This special dungeon branch is completely optional, but is a good source of food and a decent exercise regimen for under-muscled characters.  Once you learn the correct pattern for pushing the boulders around, it's not hard.  Beware that certain actions (breaking boulders, etc.) in Sokoban will impose a luck penalty.
Zealot	sokoban	A good Sokoban spoiler is located at http://www.steelypips.org/nethack/soko-331.html , if you're into that sort of thing.
Cyde	sokoban	There is no magical reset button.
HanClinto	sokoban	The ending with the entrance on top (version A in the spoiler) has a bag of holding as the prize, the ending with the entrance on the bottom (version B) has an amulet of reflection as the prize.
mekkis	sokoban	In the sokoban branch, reading scrolls of earth, jumping, casting stone-to-flesh at a boulder, polymorphing a boulder, smashing a boulder, being pulled by a chain attached to a thrown iron ball, movement by Newton's Third Law and squeezing past a boulder will give a -1 penalty to luck.
iank	sokoban	http://iank.org/nhss/ is a 'practice environment' for sokoban, to avoid messing up irreversibly in the real game
teabing	sokoban	it has been estimated that roughly 1.9% of games will generate at least one wand of wishing in sokoban (and that's not even counting any randomly generated wands)
Cyde	lucern_hammer	A pole-arm.  Is a two-handed weapon, costs 7 zorkmids, weighs 150, and is made out of iron.  Unidentified appearance is a pronged polearm.  Deals 2d4 damage to small creatures and d6 to large ones.
paxed	amplified	"Your health currently feels amplified!" means you gained shock resistance.
dasunt	low_boots	Leather boots that drop AC by 1 and have the unidentified appearance of 'walking shoes'.
dasunt	brass_lantern	Light source, weighs 30 (50% more than an oil lamp), and can last from 999 to 1499 turns.  A blessed scroll of charging will refill them to 1500 turns, uncursed scroll will add 750 turns (to a max of 1500). Potions of oil have no effect on a Brass Lantern.
billnye	brass_lantern	Keep in mind that the PYEC acts as a charging source.
dasunt	<	Direction: '<'  Use to throw potions up, etc.  Warning:  What goes up...
dasunt	<	Command: '<'  Go up stairs, ladders, etc.
dasunt	<	Symbol: '<'  Stairs up.
dasunt	t	Command: 't'  Throw an object or shoot a projectile.  Also see 'Q' and 'f'.
dasunt	t	Command: 'T'  Take off armor.
dasunt	t	Monster: 't'  Things that hide and eat you -- lurker above and trapper.
dasunt	t	Monster: 'T'  Trolls.  Not only do they bugger you in everyday life, usenet and IRC, they follow you into nethack!  Worst of all, they come back.  Again and again.  In addition to the plain 'troll', there are ice, rock and water trolls, and the Olog-hai.  Try eating the corpses, throwing them into water to drown ('cept water trolls), putting them into boxes, chests, or bags of holding, or stoning the monsters.
dasunt	t	Command: '^T'  Teleport, if you can.
dasunt	t	Command: 'Meta-t'  Same as '#turn'.
Dentarthur	you_feel_like_you've_been_here_before	This level got sucked out of your brain by that mind flayer.
paxed	character	Configuration option.  Pick your type of character (ex. "character:monk").  Synonym for role.
ihope	potion_of_water	See {water}
_bryce	amulet_versus_poison	Amulet that gives you poison resistance when you wear it (or eat it).
ylmson	a_pillar_of_fire_strikes_all_around_you!	see {pillar_of_fire}
Eidolos	#nethack:rgrn?	rec.games.roguelike.nethack - the (active) nethack newsgroup.
Grognor	orcish_spear	Does d5 damage to small enemies and d8 damage to large enemies. Unidentified appearance is a "crude spear".
greycat	twoweapon	#twoweapon allows you to fight with two weapons at once, potentially doubling your damage output. Artifacts cannot be wielded off-hand. Good off-hand weapons: silver foo, crysknife, long sword, katana, trident, elven broadsword. Unskilled twoweaponing can be hard to hit with; try practicing on wimpy monsters to get your skill up.
jilles	twoweapon	To begin two-weapon combat, wield your primary weapon and your non-artifact secondary weapon in the alternate slot, and #twoweapon. Use the exchange weapons command 'x' to put your wielded weapon into your alternate slot.
jilles	twoweapon	While two-weaponing, the skills in the individual weapons are not exercised, but your twoweapon skill is. For skill bonuses: To-hit counts the minimum of your primary weapon skill and twoweapon skill. Damage counts the minimum of weapon skill and twoweapon skill (per weapon).
ekiM	twoweapon	To-hit malus : U:-9, B:-7, S:-5, E:-3. Damage bonus/malus : U:-3, B:-1, S:0, E:+1. Classes that can achieve B: Arc,Bar; S: Kni,Tou,Val; E: Rog, Sam. Other classes cannot #twoweapon.
RjY	twoweapon	You can joust while twoweaponing, with the lance wielded in the off-hand. Just ask Mordiceius.
paxed	king_arthur	The knight quest leader.
Zeffrin	king_arthur	Eaten: King Arthur   Nutr: 400   Effects: Human
rlbond86	unchanging	see {amulet of unchanging}
paxed	core_dumped	A message you will get when eating an apple or a pear on a *nix.
SpeedEvil	feel_jumpy	see {teleportitis}
HiSPeed	you_feel_limber	Congrats, the stoning process was just stopped.
GreyMario	pruning_hook	see {guisarme}
towo	lart	Luser Attitude Readjustment Tool
towo	lart	A typical example of a LART is a 2x4 wooden striking implement.
argiopeweb	lart	Formerly a #nethack ! command.
Problem	you_are_nominally_aligned	See {alignment}
rebo123_	#nethack:!ifl	[http://www.google.com/search?q=$URLENC($ARGS)&btnI]
hacken	level_drain	Attacks from W, V, and Demogorgon may lower your xlevel. Killing them should give enough XP to regain the last level drained from you.
greqrg	level_drain	A level drain lowers your experience to one point below what is required for your current level.
paxed	someone_is_helping_you	Scroll of remove curse.
Stevie-O	someone_is_helping_you	Or, you successfully cast the 'remove curse' spell
[SA]Steff	someone_is_helping_you	Or, you stepped onto a magic trap and it uncursed an item.
Nodey	microscopic_space_fleet	From Hitchhiker's Guide to the Galaxy (both book and game), in which aliens invaded earth, but due to a discrepency in size, the fleet was eaten by a small dog.
Nodey	microscopic_space_fleet	Appears as a hallucinated monster in NetHack. Also referenced to in the Infocom game, the packaging of which included an official copy [ http://infocom.elsewhere.org/gallery/hhgttg/space-fleet.jpg ].
kerio	#nethack:!isotime	$TIMEFMT(%Y%m%dT%H%M%S%z)
dasunt	debian	nethack-gnome, nethack-qt, nethack-x11, and nethack-console are the debian nethack packages.  There is also a nethack-spoilers package.  "apt-get install <packagename>" to install nethack.
dasunt	debian	For debian stable users, http://www.apt-get.org tends to have the current version of nethack in deb form.
joshk	debian	Easily the best Nethack package out there.
dasunt	n	Command: 'n'  Move diagonally right and down if you have embraced the one-true-path-of-vi-movement-keys.
dasunt	n	Command: 'N'  Move diagonally right and down until you hit a wall or something.  For those who have not embraced the one-true-path-of-vi-movement-keys, 'N' will name an item or object (same as #name or meta-n for the faithful).
dasunt	n	Monster: 'n'  Hope you didn't want everything in your inventory, since that 'n' is either a wood, water, or mountain nymph.
dasunt	n	Monster: 'N'  Nagas.  Red, black, golden, or guardian.  Also includes naga hatchlings of the four variants.
dasunt	n	Command: 'Meta-n'  Same as '#name'.
runcible	tapioca	see {eye_of_the_aethiopica}
argiopeweb	a_lit_field_surrounds_you	Yep, it's a ?oLight.
PsyMar	spetum	A pole-arm.  Unidentified appearance is forked polearm.  1+1d6 vs. small monsters, 2d6 vs large.
jilles	draft	"You feel an unexpected draft." A wall-eating monster ate a door. This gives the message 1 out of 3 times.
markos_64	hacker	If you want to become a hacker, look at http://www.catb.org/~esr/faqs/hacker-howto.html.
markos_64	hacker	If you want to become nethacker, look at http://www.nethack.org/
markos_64	hacker	If you want to become a cracker, /quit I suck.
GreyKnight	sliming	see {green_slime}
lorimer	sacrifacts	Artifacts that you obtained by sacrificing a number of dungeon creatures roughly equivalent to the population of a small village.
jilles	your_senses_fail	"Your senses fail!" You just lost telepathy because of a gremlin.
Feory	you_enter_what_seems_to_be_an_older,_more_primitive_world	See {rogue_level}
